Wage,Age,Club,League,Nation,Position,Apps,Caps
"3,640,000",32,West Ham,Premier League,JAM,Midfilder,413,6
"3,640,000",29,Aston Villa,Premier League,ENG,Defender,211,17
"3,640,000",,Southampton,Premier League,CRO,Midfilder,366,19
"3,586,000",26,RB Leipzig,Bundesliga,POR,Forward,272,51
"3,509,000",28,Spezia,Serie A,ITA,Defender,159,2
"3,509,000",29,Parthenope,Serie A,ITA,Forward,332,7
"3,484,000",34,Brighton,Premier League,ENG,Midfilder,427,34
"3,476,000",25,PSG,Ligue 1 Uber Eats,POR,Midfilder,177,32
"3,449,000",21,Milan,Serie A,USA,Defender,92,17
"3,448,000",,RB Leipzig,Bundesliga,ESP,Midfilder,175,24
"3,448,000",24,Getafe,La Liga,ESP,Midfilder,170,0
"3,448,000",28,Mallorca,La Liga,KOS,Forward,275,42
"3,448,000",24,Nottm Forest,Premier League,BRA,Defender,119,15
"3,439,000",28,VfL Wolfsburg,Bundesliga,GER,Midfilder,293,3
"3,439,000",22,VfL Wolfsburg,Bundesliga,FRA,Defender,92,0
"3,439,000",32,Hoffenheim,Bundesliga,GER,Defender,373,28
"3,439,000",32,Bayer 04,Bundesliga,FIN,Goalkeeper,384,78
"3,439,000",31,Hoffenheim,Bundesliga,DEN,Midfilder,311,69
"3,439,000",20,Sevilla,La Liga,FRA,Defender,33,0
"3,439,000",28,SV Werder,Bundesliga,GER,Forward,227,0
"3,439,000",27,Getafe,La Liga,MAR,Forward,203,11
"3,439,000",,Borussia Dortmund,Bundesliga,TUR,Midfilder,166,5
"3,439,000",23,Borussia Dortmund,Bundesliga,NED,Forward,135,18
"3,439,000",23,Wolves,Premier League,BRA,Forward,139,7
"3,439,000",26,Borussia M'gladbach,Bundesliga,GER,Midfilder,260,6
"3,439,000",30,Borussia M'gladbach,Bundesliga,GER,Midfilder,283,14
"3,439,000",30,VfL Wolfsburg,Bundesliga,BEL,Goalkeeper,262,4
"3,439,000",31,Hoffenheim,Bundesliga,CRO,Forward,342,71
"3,437,000",,RB Leipzig,Bundesliga,SWE,Midfilder,362,74
"3,437,000",26,Borussia Dortmund,Bundesliga,GER,Midfilder,172,2
"3,432,000",31,Brighton,Premier League,GER,Midfilder,385,0
"3,404,000",28,Juventus,Serie A,POL,Forward,262,62
"3,380,000",,Liverpool,Premier League,GRE,Defender,128,22
"3,380,000",25,Leeds,Premier League,ESP,Midfilder,177,0
"3,380,000",21,Liverpool,Premier League,ENG,Midfilder,45,0
"3,380,000",29,Aston Villa,Premier League,ESP,Defender,322,0
"3,380,000",25,Southampton,Premier League,ENG,Defender,132,5
"3,380,000",,Fulham,Premier League,SRB,Forward,357,74
"3,380,000",32,Wolves,Premier League,ENG,Defender,464,0
"3,380,000",25,Aston Villa,Premier League,POL,Defender,214,7
"3,380,000",31,Fulham,Premier League,POR,Defender,257,34
"3,380,000",25,West Ham,Premier League,CIV,Defender,241,28
"3,380,000",24,Everton,Premier League,ENG,Defender,172,2
"3,380,000",26,Nottm Forest,Premier League,SEN,Defender,235,0
"3,380,000",28,Newcastle,Premier League,SCO,Midfilder,273,22
"3,380,000",36,Man UFC,Premier League,ENG,Goalkeeper,347,3
"3,380,000",23,Arsenal,Premier League,JPN,Defender,170,28
"3,380,000",26,West Ham,Premier League,MAR,Defender,168,25
"3,380,000",25,Fulham,Premier League,FRA,Defender,187,0
"3,380,000",34,West Ham,Premier League,ITA,Defender,388,13
"3,380,000",24,Aston Villa,Premier League,BRA,Midfilder,173,9
"3,370,000",27,Capitoline,Serie A,NED,Defender,178,3
"3,362,000",35,OGC Nice,Ligue 1 Uber Eats,DEN,Goalkeeper,579,84
"3,354,000",,Parthenope,Serie A,POR,Defender,314,11
"3,353,000",27,OM,Ligue 1 Uber Eats,ESP,Goalkeeper,223,2
"3,319,000",25,Parthenope,Serie A,KOR,Defender,149,42
"3,319,000",26,Inter,Serie A,CMR,Goalkeeper,191,30
"3,319,000",33,Bologna,Serie A,AUT,Forward,393,102
"3,319,000",30,Parthenope,Serie A,GER,Midfilder,334,1
"3,267,000",26,VfL Wolfsburg,Bundesliga,GER,Forward,158,7
"3,267,000",31,OL,Ligue 1 Uber Eats,POR,Goalkeeper,319,14
"3,224,000",24,RB Leipzig,Bundesliga,GER,Defender,147,9
"3,198,000",24,OL,Ligue 1 Uber Eats,FRA,Midfilder,168,1
"3,190,000",28,Sampdoria,Serie A,ITA,Defender,146,1
"3,190,000",,Lazio,Serie A,ALB,Defender,307,71
"3,190,000",23,Sassuolo,Serie A,ITA,Forward,111,0
"3,190,000",27,Lazio,Serie A,ITA,Forward,218,0
"3,190,000",33,Inter,Serie A,ITA,Defender,384,6
"3,190,000",26,Capitoline,Serie A,ITA,Defender,168,9
"3,190,000",34,Sevilla,La Liga,ARG,Midfilder,509,14
"3,190,000",27,Brianza,Serie A,ITA,Midfilder,197,9
"3,190,000",,Atalanta,Serie A,TUR,Defender,124,35
"3,190,000",31,Milan,Serie A,ITA,Defender,318,49
"3,190,000",25,Milan,Serie A,ITA,Defender,153,7
"3,138,000",,Barcelona,La Liga,ESP,Forward,134,28
"3,138,000",,Villarreal,La Liga,FRA,Midfilder,260,0
"3,120,000",32,Nottm Forest,Premier League,GHA,Forward,442,107
"3,120,000",28,Nottm Forest,Premier League,BRA,Forward,248,1
"3,120,000",,Leeds,Premier League,USA,Defender,167,30
"3,120,000",,Fulham,Premier League,POR,Midfilder,191,14
"3,120,000",25,Leeds,Premier League,ENG,Midfilder,215,0
"3,120,000",29,Crystal Palace,Premier League,GHA,Midfilder,285,19
"3,120,000",28,Strasbourg,Ligue 1 Uber Eats,FRA,Midfilder,272,0
"3,120,000",23,Leicester,Premier League,AUS,Defender,121,5
"3,120,000",37,West Ham,Premier League,POL,Goalkeeper,394,57
"3,120,000",,West Ham,Premier League,ENG,Defender,175,32
"3,120,000",,Southampton,Premier League,NGA,Midfilder,203,20
"3,120,000",35,Liverpool,Premier League,ESP,Goalkeeper,233,0
"3,120,000",33,Wolves,Premier League,ESP,Forward,394,24
"3,120,000",30,Southampton,Premier League,SCO,Midfilder,348,36
"3,120,000",,Brighton,Premier League,ARG,Midfilder,148,5
"3,120,000",26,Aston Villa,Premier League,BFA,Midfilder,227,64
"3,120,000",,Brighton,Premier League,ECU,Defender,202,31
"3,120,000",25,Wolves,Premier League,POR,Midfilder,250,30
"3,120,000",29,Everton,Premier League,ENG,Defender,365,10
"3,120,000",26,Southampton,Premier League,POL,Defender,208,42
"3,120,000",20,Leeds,Premier League,FRA,Forward,67,0
"3,120,000",26,Fulham,Premier League,SRB,Midfilder,217,30
"3,120,000",27,West Ham,Premier League,ALG,Forward,228,17
"3,120,000",24,Leicester,Premier League,BEL,Defender,162,1
"3,120,000",22,Tottenham,Premier League,ENG,Defender,154,0
"3,120,000",28,Southampton,Premier League,NOR,Midfilder,301,45
"3,095,000",28,Benfica,Primiera Liga,GER,Midfilder,292,58
"3,095,000",27,AS Monaco,Ligue 1 Uber Eats,POR,Midfilder,237,21
"3,095,000",27,Milan,Serie A,FRA,Goalkeeper,185,4
"3,071,000",20,RB Leipzig,Bundesliga,CRO,Defender,76,10
"3,035,000",31,Lazio,Serie A,URU,Midfilder,269,60
"3,017,000",30,Hoffenheim,Bundesliga,ISR,Forward,309,40
"3,017,000",22,Milan,Serie A,FRA,Defender,45,0
"3,016,000",27,Valencia,La Liga,ESP,Defender,304,17
"3,016,000",22,Arsenal,Premier League,POL,Defender,91,2
"3,009,000",26,Bayer 04,Bundesliga,GER,Defender,245,16
"3,009,000",23,VfL Wolfsburg,Bundesliga,GER,Forward,128,6
"3,009,000",29,RB Leipzig,Bundesliga,HUN,Defender,290,33
"3,009,000",29,Borussia M'gladbach,Bundesliga,FRA,Forward,263,1
"3,009,000",34,Borussia M'gladbach,Bundesliga,GER,Forward,434,11
"3,009,000",28,VfL Wolfsburg,Bundesliga,GER,Defender,233,1
"3,009,000",25,AS Monaco,Ligue 1 Uber Eats,SUI,Midfilder,212,56
"3,007,000",27,Borussia Dortmund,Bundesliga,GER,Defender,198,0
"3,007,000",32,Girona,La Liga,ESP,Defender,429,0
"3,007,000",32,RB Leipzig,Bundesliga,HUN,Goalkeeper,335,49
"2,994,000",24,RB Leipzig,Bundesliga,MLI,Midfilder,157,32
"2,923,000",30,OL,Ligue 1 Uber Eats,BRA,Defender,288,0
"2,911,000",28,RB Leipzig,Bundesliga,DEN,Midfilder,296,68
"2,871,000",34,Inter,Serie A,ITA,Defender,411,25
"2,871,000",23,Valencia,La Liga,NED,Midfilder,162,2
"2,871,000",27,Brianza,Serie A,ITA,Forward,249,1
"2,871,000",31,Atalanta,Serie A,COL,Forward,353,34
"2,860,000",26,Wolves,Premier League,KOR,Midfilder,193,47
"2,860,000",27,Brighton,Premier League,ENG,Defender,275,0
"2,860,000",21,Wolves,Premier League,BRA,Midfilder,59,0
"2,860,000",27,Fulham,Premier League,BRA,Forward,134,0
"2,860,000",30,West Ham,Premier League,CZE,Defender,275,30
"2,860,000",22,Arsenal,Premier League,ENG,Forward,77,3
"2,860,000",34,Crystal Palace,Premier League,SCO,Midfilder,533,32
"2,860,000",31,Leeds,Premier League,NIR,Defender,407,62
"2,860,000",28,Newcastle,Premier League,ENG,Defender,261,0
"2,860,000",19,Chelsea,Premier League,CIV,Forward,44,0
"2,860,000",27,Leicester,Premier League,GHA,Defender,169,44
"2,860,000",30,Fulham,Premier League,IRL,Defender,286,55
"2,860,000",26,Leeds,Premier League,ESP,Defender,160,0
"2,852,000",34,Capitoline,Serie A,POR,Goalkeeper,481,104
"2,837,000",27,Bayer 04,Bundesliga,IRN,Forward,221,63
"2,802,000",32,Eintracht Frankfurt,Bundesliga,GER,Goalkeeper,355,6
"2,802,000",30,Eintracht Frankfurt,Bundesliga,GER,Midfilder,285,63
"2,800,000",22,Capitoline,Serie A,ALB,Defender,64,15
"2,786,000",35,OM,Ligue 1 Uber Eats,FRA,Forward,544,38
"2,767,000",24,Fiorentina,Serie A,ARG,Midfilder,155,21
"2,767,000",35,Lazio,Serie A,ESP,Forward,483,65
"2,767,000",24,Leeds,Premier League,USA,Midfilder,137,35
"2,767,000",29,Juventus,Serie A,SRB,Defender,344,48
"2,767,000",26,Inter,Serie A,NED,Defender,224,34
"2,761,000",27,Vallecano,La Liga,ESP,Forward,295,4
"2,751,000",26,OL,Ligue 1 Uber Eats,FRA,Forward,228,0
"2,751,000",31,VfL Wolfsburg,Bundesliga,FRA,Defender,309,7
"2,749,000",29,1. FC Koln,Bundesliga,GER,Goalkeeper,334,0
"2,735,000",23,Bayer 04,Bundesliga,ARG,Midfilder,87,20
"2,732,000",25,OM,Ligue 1 Uber Eats,TUR,Midfilder,203,42
"2,718,000",29,Nottm Forest,Premier League,CIV,Defender,273,79
"2,711,000",30,Verona,Serie A,ITA,Forward,292,4
"2,711,000",30,Brianza,Serie A,ITA,Defender,277,3
"2,690,000",25,Rennes,Ligue 1 Uber Eats,FRA,Forward,168,0
"2,690,000",30,Sevilla,La Liga,ARG,Forward,298,25
"2,682,000",37,Rennes,Ligue 1 Uber Eats,FRA,Goalkeeper,551,34
"2,621,000",24,Vigo,La Liga,ESP,Midfilder,128,0
"2,621,000",26,Spezia,Serie A,UKR,Midfilder,159,33
"2,600,000",30,Real Hispalis,La Liga,BRA,Forward,357,0
"2,600,000",24,Fulham,Premier League,WAL,Midfilder,117,36
"2,600,000",22,Man UFC,Premier League,ENG,Defender,47,0
"2,600,000",24,Nottm Forest,Premier League,ENG,Defender,104,0
"2,600,000",32,Brentford,Premier League,ENG,Defender,372,0
"2,600,000",26,Fulham,Premier League,BRA,Midfilder,167,1
"2,600,000",25,Southampton,Premier League,ENG,Defender,91,2
"2,600,000",29,Brianza,Serie A,ESP,Defender,264,0
"2,600,000",31,Nottm Forest,Premier League,CIV,Defender,268,13
"2,600,000",23,Man UFC,Premier League,NED,Defender,104,5
"2,600,000",22,Nottm Forest,Premier League,ENG,Midfilder,111,0
"2,600,000",31,Brighton,Premier League,ENG,Forward,288,42
"2,600,000",33,Crystal Palace,Premier League,ENG,Defender,330,0
"2,600,000",24,Fulham,Premier League,ENG,Defender,143,0
"2,600,000",26,Southampton,Premier League,SCO,Forward,342,19
"2,600,000",29,Wolves,Premier League,GAB,Midfilder,220,25
"2,600,000",27,West Ham,Premier League,CZE,Midfilder,234,52
"2,600,000",28,Southampton,Premier League,NGA,Forward,261,15
"2,600,000",21,Arsenal,Premier League,ENG,Forward,103,18
"2,600,000",25,Crystal Palace,Premier League,FRA,Forward,167,0
"2,600,000",22,Crystal Palace,Premier League,BEL,Midfilder,95,1
"2,600,000",24,Newcastle,Premier League,NIR,Defender,124,26
"2,600,000",32,West Ham,Premier League,ENG,Defender,465,3
"2,600,000",22,Juventus,Serie A,ITA,Forward,126,12
"2,600,000",30,Chelsea,Premier League,SEN,Goalkeeper,209,25
"2,600,000",26,Wolves,Premier League,POR,Forward,226,1
"2,600,000",24,Southampton,Premier League,MLI,Midfilder,113,29
"2,600,000",27,Crystal Palace,Premier League,ENG,Midfilder,295,0
"2,600,000",32,Southampton,Premier League,ENG,Goalkeeper,269,1
"2,600,000",26,Everton,Premier League,FRA,Forward,276,0
"2,600,000",27,Aston Villa,Premier League,ENG,Defender,166,3
"2,600,000",30,Newcastle,Premier League,ENG,Defender,325,0
"2,600,000",30,Brighton,Premier League,NED,Defender,252,28
"2,600,000",30,Leicester,Premier League,SEN,Midfilder,283,17
"2,600,000",18,Chelsea,Premier League,BRA,Midfilder,34,0
"2,600,000",20,Southampton,Premier League,GHA,Midfilder,76,11
"2,600,000",21,Tottenham,Premier League,ENG,Midfilder,84,0
"2,600,000",25,Southampton,Premier League,BRA,Defender,97,0
"2,600,000",25,Southampton,Premier League,CRO,Defender,238,23
"2,600,000",19,Udinese,Serie A,ITA,Defender,44,0
"2,600,000",22,Brentford,Premier League,DEN,Midfilder,136,16
"2,600,000",23,Everton,Premier League,UKR,Defender,108,27
"2,600,000",19,Southampton,Premier League,ARG,Midfilder,64,0
"2,600,000",30,Arsenal,Premier League,EGY,Midfilder,236,92
"2,600,000",25,Southampton,Premier League,ENG,Forward,292,0
"2,600,000",19,Leicester,Premier League,DEN,Defender,51,0
"2,600,000",22,Crystal Palace,Premier League,USA,Defender,77,8
"2,592,000",25,Chelsea,Premier League,SUI,Midfilder,196,40
"2,586,000",21,Barcelona,La Liga,ESP,Defender,46,17
"2,586,000",32,Hoffenheim,Bundesliga,GER,Goalkeeper,420,0
"2,586,000",26,Real San Sebastian,La Liga,NOR,Forward,226,42
"2,586,000",25,Bayer 04,Bundesliga,GER,Midfilder,213,5
"2,579,000",28,Getafe,La Liga,FRA,Defender,205,0
"2,579,000",24,PSG,Ligue 1 Uber Eats,FRA,Defender,184,1
"2,579,000",23,VfL Wolfsburg,Bundesliga,SWE,Midfilder,160,21
"2,579,000",25,Borussia M'gladbach,Bundesliga,SUI,Defender,253,38
"2,579,000",23,VfL Wolfsburg,Bundesliga,BEL,Defender,104,2
"2,579,000",23,Bayer 04,Bundesliga,BFA,Defender,118,29
"2,579,000",39,FC Porto,Primiera Liga,POR,Defender,495,128
"2,579,000",22,OL,Ligue 1 Uber Eats,FRA,Midfilder,74,0
"2,579,000",25,Hoffenheim,Bundesliga,ESP,Defender,179,0
"2,579,000",23,Bayer 04,Bundesliga,FRA,Midfilder,125,8
"2,579,000",24,Hertha Berlin,Bundesliga,BEL,Midfilder,160,4
"2,579,000",25,Borussia M'gladbach,Bundesliga,GER,Midfilder,174,10
"2,579,000",27,Borussia M'gladbach,Bundesliga,ALG,Defender,196,48
"2,579,000",22,RB Leipzig,Bundesliga,FRA,Defender,73,0
"2,578,000",25,Sevilla,La Liga,MAR,Forward,178,48
"2,578,000",32,1. FC Koln,Bundesliga,GER,Defender,414,43
"2,578,000",30,RB Leipzig,Bundesliga,GER,Defender,299,9
"2,578,000",25,RB Leipzig,Bundesliga,AUT,Defender,192,24
"2,578,000",24,Hoffenheim,Bundesliga,DEN,Forward,160,35
"2,555,000",19,Borussia Dortmund,Bundesliga,ENG,Midfilder,108,15
"2,552,000",25,Fiorentina,Serie A,ITA,Midfilder,183,1
"2,552,000",26,Torino,Serie A,PAR,Forward,196,29
"2,552,000",24,Inter,Serie A,ITA,Defender,141,4
"2,552,000",28,Atalanta,Serie A,ARG,Goalkeeper,162,2
"2,550,000",25,Villarreal,La Liga,ESP,Defender,205,19
"2,494,000",27,OM,Ligue 1 Uber Eats,FRA,Midfilder,206,0
"2,472,000",20,Bayer 04,Bundesliga,ECU,Defender,47,24
"2,466,000",31,Real Hispalis,La Liga,ESP,Defender,252,0
"2,466,000",25,Tottenham,Premier League,NED,Midfilder,134,6
"2,466,000",32,Real San Sebastian,La Liga,ESP,Midfilder,354,3
"2,466,000",22,Borussia Dortmund,Bundesliga,GER,Defender,94,4
"2,466,000",33,Valladolid,La Liga,ESP,Midfilder,408,0
"2,431,000",29,Lazio,Serie A,BRA,Forward,308,2
"2,431,000",21,Milan,Serie A,BEL,Forward,94,8
"2,418,000",29,Capitoline,Serie A,ESP,Defender,273,10
"2,397,000",29,Juventus,Serie A,ITA,Goalkeeper,269,2
"2,397,000",29,Juventus,Serie A,ITA,Defender,206,39
"2,397,000",28,Inter,Serie A,ITA,Midfilder,201,7
"2,397,000",30,Torino,Serie A,SUI,Defender,336,98
"2,397,000",25,Atalanta,Serie A,CIV,Forward,202,10
"2,397,000",28,Lazio,Serie A,ITA,Defender,383,2
"2,397,000",33,Fiorentina,Serie A,ITA,Midfilder,376,14
"2,397,000",25,Parthenope,Serie A,ITA,Goalkeeper,112,2
"2,392,000",26,PSG,Ligue 1 Uber Eats,ESP,Midfilder,206,15
"2,392,000",26,Torino,Serie A,RUS,Midfilder,218,41
"2,392,000",27,Empoli,Serie A,CRO,Forward,218,24
"2,392,000",27,Parthenope,Serie A,ARG,Forward,277,5
"2,381,000",33,Villarreal,La Liga,ESP,Midfilder,478,4
"2,376,000",28,OM,Ligue 1 Uber Eats,COD,Defender,212,66
"2,364,000",31,Borussia M'gladbach,Bundesliga,GER,Midfilder,321,12
"2,364,000",22,Hoffenheim,Bundesliga,TUR,Defender,93,17
"2,340,000",26,Brentford,Premier League,ENG,Forward,305,0
"2,340,000",25,Leeds,Premier League,DEN,Defender,162,8
"2,340,000",26,Aston Villa,Premier League,ENG,Forward,298,7
"2,340,000",32,Newcastle,Premier League,SCO,Defender,469,16
"2,340,000",28,Brighton,Premier League,ENG,Defender,224,0
"2,340,000",27,Bournemouth,Premier League,COL,Midfilder,319,33
"2,340,000",30,Newcastle,Premier League,SUI,Defender,276,71
"2,340,000",33,Newcastle,Premier League,SVK,Goalkeeper,331,29
"2,340,000",19,Man City,Premier League,ARG,Midfilder,22,0
"2,340,000",22,Rennes,Ligue 1 Uber Eats,ENG,Defender,107,0
"2,340,000",30,Nottm Forest,Premier League,SUI,Midfilder,375,46
"2,340,000",28,Bournemouth,Premier League,ENG,Defender,193,0
"2,340,000",21,Brighton,Premier League,GHA,Defender,56,0
"2,340,000",22,Crystal Palace,Premier League,MLI,Midfilder,122,8
"2,340,000",26,Brentford,Premier League,DEN,Midfilder,191,19
"2,340,000",22,Crystal Palace,Premier League,ENG,Defender,92,3
"2,340,000",30,Girona,La Liga,ESP,Midfilder,326,0
"2,340,000",24,Nottm Forest,Premier League,BEL,Midfilder,131,2
"2,340,000",22,Bournemouth,Premier League,GHA,Forward,124,1
"2,340,000",20,Crystal Palace,Premier League,FRA,Forward,100,0
"2,340,000",23,Brentford,Premier League,CMR,Midfilder,169,0
"2,340,000",19,Liverpool,Premier League,ENG,Midfilder,57,0
"2,340,000",20,Bournemouth,Premier League,UKR,Defender,50,22
"2,340,000",25,Bournemouth,Premier League,ARG,Defender,127,1
"2,340,000",25,Wolves,Premier League,AUT,Forward,141,15
"2,340,000",34,Fulham,Premier League,BRA,Midfilder,457,70
"2,340,000",23,Nottm Forest,Premier League,ENG,Midfilder,170,0
"2,340,000",24,Crystal Palace,Premier League,ENG,Midfilder,178,0
"2,340,000",24,Brentford,Premier League,NOR,Defender,217,26
"2,340,000",25,Crystal Palace,Premier League,NED,Defender,152,3
"2,340,000",24,Leeds,Premier League,AUT,Defender,163,9
"2,340,000",29,Crystal Palace,Premier League,ENG,Goalkeeper,311,3
"2,340,000",25,Nottm Forest,Premier League,NGA,Forward,163,4
"2,340,000",26,Leicester,Premier League,TUR,Defender,176,48
"2,340,000",24,Bournemouth,Premier League,ENG,Forward,181,1
"2,340,000",26,Bournemouth,Premier League,DEN,Midfilder,197,3
"2,340,000",31,Everton,Premier League,ENG,Midfilder,353,13
"2,297,000",30,Villarreal,La Liga,ESP,Forward,372,17
"2,288,000",30,Man UFC,Premier League,NED,Forward,329,13
"2,264,000",29,Benfica,Primiera Liga,POR,Midfilder,283,50
"2,242,000",23,OM,Ligue 1 Uber Eats,FRA,Midfilder,151,6
"2,242,000",22,Torino,Serie A,NED,Defender,153,0
"2,236,000",26,Wolves,Premier League,ESP,Midfilder,256,9
"2,235,000",29,PSG,Ligue 1 Uber Eats,ESP,Goalkeeper,204,1
"2,235,000",35,Vigo,La Liga,ESP,Forward,489,18
"2,235,000",31,Vigo,La Liga,ESP,Defender,375,0
"2,235,000",33,OL,Ligue 1 Uber Eats,CRO,Defender,371,70
"2,233,000",28,Lazio,Serie A,ITA,Midfilder,212,0
"2,233,000",25,Fiorentina,Serie A,ITA,Midfilder,154,4
"2,233,000",27,Torino,Serie A,POL,Midfilder,265,41
"2,211,000",18,Atalanta,Serie A,ITA,Defender,19,1
"2,207,000",25,Capitoline,Serie A,TUR,Defender,220,32
"2,207,000",32,Inter,Serie A,ITA,Defender,316,36
"2,207,000",27,Parthenope,Serie A,SVK,Midfilder,309,40
"2,207,000",23,Atalanta,Serie A,BRA,Midfilder,91,0
"2,199,000",28,Real Hispalis,La Liga,ARG,Midfilder,258,24
"2,195,000",25,A. Bilbao,La Liga,ESP,Goalkeeper,211,25
"2,184,000",24,Everton,Premier League,ENG,Midfilder,142,0
"2,155,000",24,FC Augsburg,Bundesliga,GER,Forward,155,0
"2,154,000",28,Hoffenheim,Bundesliga,TOG,Midfilder,222,26
"2,149,000",28,Vigo,La Liga,ARG,Midfilder,182,4
"2,149,000",24,Fiorentina,Serie A,CRO,Midfilder,182,33
"2,149,000",30,OL,Ligue 1 Uber Eats,ARG,Defender,314,40
"2,149,000",30,Schalke 04,Bundesliga,GER,Goalkeeper,302,0
"2,149,000",30,Borussia M'gladbach,Bundesliga,AUT,Defender,342,37
"2,149,000",19,Borussia Dortmund,Bundesliga,USA,Midfilder,63,12
"2,149,000",22,FC Bayern,Bundesliga,CRO,Defender,56,5
"2,149,000",32,FC Augsburg,Bundesliga,GER,Defender,295,0
"2,149,000",26,Borussia M'gladbach,Bundesliga,GER,Defender,203,0
"2,149,000",21,Bologna,Serie A,NED,Forward,85,0
"2,149,000",25,RB Leipzig,Bundesliga,GER,Defender,135,7
"2,149,000",29,Eintracht Frankfurt,Bundesliga,ARG,Forward,264,9
"2,149,000",32,FC Bayern,Bundesliga,NED,Defender,333,91
"2,149,000",30,FC Bayern,Bundesliga,SEN,Defender,247,13
"2,143,000",26,Real San Sebastian,La Liga,ESP,Midfilder,225,11
"2,129,000",37,Villarreal,La Liga,ESP,Defender,550,58
"2,095,000",29,OM,Ligue 1 Uber Eats,FRA,Defender,218,4
"2,084,000",31,Sevilla,La Liga,MAR,Goalkeeper,247,43
"2,080,000",35,Getafe,La Liga,ESP,Goalkeeper,375,1
"2,080,000",28,Arsenal,Premier League,USA,Goalkeeper,129,17
"2,080,000",24,Nottm Forest,Premier League,NGA,Midfilder,151,7
"2,080,000",21,Nottm Forest,Premier League,WAL,Defender,34,21
"2,080,000",27,Fulham,Premier League,ENG,Midfilder,191,0
"2,080,000",37,Man City,Premier League,ENG,Goalkeeper,472,4
"2,080,000",21,Everton,Premier League,ENG,Midfilder,84,0
"2,080,000",26,Leeds,Premier League,GER,Defender,211,8
"2,080,000",21,Leeds,Premier League,USA,Midfilder,127,22
"2,080,000",20,Southampton,Premier League,FRA,Forward,38,0
"2,080,000",20,Southampton,Premier League,IRL,Goalkeeper,84,10
"2,080,000",32,Crystal Palace,Premier League,ENG,Defender,391,0
"2,080,000",22,Man City,Premier League,ESP,Defender,123,0
"2,080,000",25,Brentford,Premier League,ENG,Defender,196,0
"2,080,000",24,Brentford,Premier League,GER,Midfilder,138,0
"2,080,000",30,Crystal Palace,Premier League,GHA,Forward,387,81
"2,080,000",25,Fulham,Premier League,WAL,Forward,169,39
"2,080,000",28,Brentford,Premier League,DEN,Midfilder,239,17
"2,080,000",20,Man UFC,Premier League,SWE,Midfilder,28,5
"2,080,000",22,Leeds,Premier League,FRA,Goalkeeper,115,0
"2,080,000",29,Wolves,Premier League,POR,Goalkeeper,247,0
"2,080,000",21,Nottm Forest,Premier League,WAL,Forward,97,13
"2,080,000",23,Southampton,Premier League,FRA,Midfilder,96,0
"2,080,000",31,Brentford,Premier League,SWE,Defender,336,27
"2,080,000",21,Arsenal,Premier League,FRA,Defender,90,5
